Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV
220,COc1cc2c:C(c3occ4nc(C#N)cnc34):[nH]c2cc1OC,-5.040447,-2.963363,2.077084,0.9999999854640272,3.07859668358868,0.3770629999999073,0.3035660000023199
91,COc1cc2c:C(c3scc4ncc(F)nc34):[nH]c2cc1OC,-4.788978,-2.489113,2.299865,0.9999999982617664,2.960160052694114,0.3925339999987045,0.3269559999971534
93,COc1cc2c:C(c3scc4ncc(S)nc34):[nH]c2cc1OC,-4.753443,-2.421088,2.332355,0.9999999997035084,3.1688320806661405,0.3645410000026459,0.3213399999949615
218,COc1cc2c:C(c3occ4nc(Br)cnc34):[nH]c2cc1OC,-4.913148,-2.534262,2.378886,0.9999999998504178,3.0545803324143934,0.4299729999911506,0.3279599999950733
204,COc1cc2c:C(c3occ4ncc(Br)nc34):[nH]c2cc1OC,-4.866285,-2.531788,2.334497,0.9999999995026364,3.0359194932535543,0.4298759999946924,0.3193079999909969
52,COc1cc2c:C(c3cc(Br)cc4nsnc34):[nH]c2cc1OC,-5.019858,-2.688397,2.331461,0.9999999939433132,2.7214880247220847,0.3088330000027781,0.298183999984758
79,COc1cc2c:C(c3nc(Br)cc4nsnc34):[nH]c2cc1OC,-5.260654,-2.866374,2.39428,0.9999999997497742,2.9760243883584483,0.3153199999942444,0.2788049999944633
203,COc1cc2c:C(c3occ4ncc(S)nc34):[nH]c2cc1OC,-4.730351,-2.323919,2.406432,0.9999999998694944,3.261343269477329,0.4510079999963636,0.323194999997213
96,COc1cc2c:C(c3scc4ncc(C)nc34):[nH]c2cc1OC,-4.667456,-2.257643,2.409814,0.9999999992740668,2.784018094652154,0.3470400000005611,0.3186570000034407
95,COc1cc2c:C(c3scc4nccnc34):[nH]c2cc1OC,-4.732792,-2.398463,2.334329,0.9999999867692396,2.730829607186756,0.3239179999945918,0.3149000000048545
68,COc1cc2c:C(c3c(C#N)ncc4nsnc34):[nH]c2cc1OC,-5.310363,-3.228198,2.082165,0.999999777065672,2.989917084926473,0.2801590000017313,0.2548619999943184
92,COc1cc2c:C(c3scc4ncc(O)nc34):[nH]c2cc1OC,-4.686904,-2.254092,2.432813,0.9999999998661916,3.033406206540267,0.4473820000057458,0.3463650000048801
177,COc1cc2c:C(c3c(C)ncc4nonc34):[nH]c2cc1OC,-5.113538,-2.803182,2.310356,0.9999999752574644,2.7947950177290792,0.3774709999961487,0.2854100000040489
47,COc1cc2c:C(c3cc(S(=O)(=O)O)cc4nsnc34):[nH]c2cc1OC,-5.154014,-2.978221,2.175793,0.9999995132879383,2.7928981933625003,0.4512899999972433,0.340940000001865
49,COc1cc2c:C(c3cc(F)cc4nsnc34):[nH]c2cc1OC,-4.986046,-2.564408,2.421637,0.9999999974323868,2.6798530596871206,0.3308140000008279,0.2998160000061034
145,COc1cc2c:C(c3c(F)ccc4nonc34):[nH]c2cc1OC,-5.012911,-2.580495,2.432416,0.9999999945473728,2.6073642484983086,0.3669229999977688,0.3030240000007325
184,COc1cc2c:C(c3nc(S(=O)(=O)O)cc4nonc34):[nH]c2cc1OC,-5.875257,-3.518959,2.356299,0.9999999957377592,3.0452775400432177,0.3623769999976503,0.5583800000094925
76,COc1cc2c:C(c3nc(F)cc4nsnc34):[nH]c2cc1OC,-5.21467,-2.752153,2.462517,0.9999999997898096,2.970657954792016,0.3194939999957569,0.2770590000000084
151,COc1cc2c:C(c3c(C#N)ccc4nonc34):[nH]c2cc1OC,-5.342665,-2.990094,2.352571,0.9999998446420852,2.7370843090067414,0.2794549999998708,0.2537830000037502
107,COc1cc2c:C(c3scc4nc(S)cnc34):[nH]c2cc1OC,-4.777144,-2.408226,2.368918,0.9999999959909006,3.1811761366101976,0.3520239999998011,0.319311999999627
178,COc1cc2c:C(c3c(C#N)ncc4nonc34):[nH]c2cc1OC,-5.492829,-3.293355,2.199473,0.9999990956846416,2.9667217672007204,0.3000019999999495,0.2505220000020927
342,COc1cc2c:C(c3cc(C#N)cc4nccnc34):[nH]c2cc1OC,-5.064038,-2.672048,2.39199,0.9999998833134752,2.6056762361766435,0.3115219999999681,0.3036510000019916
103,COc1cc2c:C(c3scc4nc(S(=O)(=O)O)cnc34):[nH]c2cc1OC,-5.350077,-3.205649,2.144428,0.9999983098800428,3.080439183878835,0.530797999999777,0.6724500000054832
217,COc1cc2c:C(c3occ4nc(S)cnc34):[nH]c2cc1OC,-4.770891,-2.300571,2.47032,0.9999999998278458,3.2736873254213865,0.4337309999973513,0.3268800000005285
205,COc1cc2c:C(c3occ4nccnc34):[nH]c2cc1OC,-4.726242,-2.296891,2.429351,0.9999999923528724,2.826231770648296,0.4033060000001569,0.3206630000022414
552,COc1cc2c:C(c3sc(-c4nncc5nsnc45)cc3OC):[nH]c2cc1OC,-4.742387,-3.048958,1.693429,0.9999999881310876,3.186270416026721,0.2533220000041183,0.287625000004482
369,CNc1ncc2nonc2c1C#Cc1cc2cc(OC)c(OC)cc2[nH]1,-4.818223,-2.606326,2.211897,1.0,3.2241273356175064,100000.0,100000.0
445,COc1cc2c:C(C=Cc3occ4ncc(C#N)nc34):[nH]c2cc1OC,-4.924606,-2.854264,2.070341,0.9999999976245686,3.2500694894636606,0.2574410000015632,0.2969489999959478
549,COc1cc2c:C(c3sc(-c4occ5ncc(C#N)nc45)cc3OC):[nH]c2cc1OC,-4.715639,-2.955822,1.759818,0.9999999975987756,3.2893628220120785,0.2428729999955976,0.2756270000027143
446,COc1cc2c:C(c3sc(-c4c(C#N)ncc5nonc45)cc3OC):[nH]c2cc1OC,-4.958306,-3.231498,1.726808,0.9999958949881108,3.224962649151232,0.2251069999983883,0.2558520000020508
540,COc1cc2c:C(C=Cc3scc4nc(C#N)cnc34):[nH]c2cc1OC,-5.064583,-2.97079,2.093793,0.9999988826213126,3.2072368740790456,0.2564690000072005,0.519163999997545
548,COc1cc2c:C(N=Cc3cccc4ncc(C#N)nc34):[nH]c2cc1OC,-5.188013,-2.900172,2.287841,0.9999657966888422,2.973096967755181,0.276743999995233,0.5936319999964326
417,COc1cc2cc(C#Cc3scc4ncc(Br)nc34)n(C)c2cc1OC,-4.889458,-2.629129,2.26033,1.0,3.3117111942453645,100000.0,0.2911509999830741
538,COc1cc2cc(C#CC3:occ4ncc(C#N)nc:34)[nH]c2cc1OC,-5.292926,-3.03932,2.253607,1.0,3.412043643309815,100000.0,100000.0
544,COc1cc2c:C(C=Cc3cc(C#N)cc4nonc34):[nH]c2cc1OC,-5.383512,-3.042461,2.341051,0.9989980043691724,2.981773489463661,0.2424979999996139,0.5325119999979506
454,COc1cc2c:C(C=Cc3cc(F)cc4nsnc34):[nH]c2cc1OC,-4.889029,-2.448096,2.440933,0.9999986781917628,2.9015166207920267,0.2572539999964647,0.2925560000003315
455,COc1cc2c:C(N=Cc3c(F)ncc4nonc34):[nH]c2cc1OC,-5.239399,-3.19959,2.039809,0.999961942065524,3.2910377746381805,0.3891240000011748,0.3307070000009844
409,COc1cc2c:C(c3occ4ncc(F)nc34):n(C)c2cc1OC,-4.716979,-2.256241,2.460738,0.9999999863940396,3.077916061908571,0.4372929999954067,0.3471989999998186
420,COc1cc2cc(-c3cc(OC):C(c4cc(OC(C)=O)cc5nonc45):s3)[nH]c2cc1OC,-4.804233,-2.323187,2.481046,0.9810683478574402,3.0450038931886265,0.3404419999933452,0.3350129999962519
514,COc1cc2cc(-c3cc(OC):C(c4nc(O)cc5nsnc45):s3)[nH]c2cc1OC,-4.882672,-2.44036,2.442312,0.9796531915572756,3.250928236673791,0.3915280000073835,0.2736420000001089
527,COc1cc2cc[nH]c2c(C=Cc2scc3nc(C(F)(F)F)cnc23)c1OC,-5.124819,-2.675848,2.448971,0.9853966702919243,3.347648050991777,0.4159189999918453,0.447031000003335
413,COc1cc2cc(C(=O)O)[nH]c2c(C=Cc2occ3nc(S(=O)(=O)O)cnc23)c1OC,-5.573271,-3.144605,2.428666,0.9831471053124328,3.5244355461784265,0.5315240000054473,0.5754500000039116
486,COc1cc2cc(-c3cc(OC):C(c4nc(Br)cc5nsnc45):s3)n(C)c2cc1OC,-5.150026,-2.740035,2.409991,0.9028531825495176,3.28743132598002,0.4291210000083083,0.5558910000108881
518,COc1cc2cc(C(=O)O)n(C)c2c(C=Cc2c(F)ncc3nsnc23)c1OC,-5.446331,-3.026434,2.419896,0.9275138381641836,3.367837571093876,0.3632309999957215,100000.0
740,COc1cc2c:C(c3sc(-c4cc(C#N)cc5nonc45)cc3OC):[nH]c2cc1OC,-5.048183,-3.127789,1.920394,0.9999985669423488,3.0584898747346365,0.2333159999980125,0.5022140000073705
753,COc1cc2c:C(C#Cc3c(F)ncc4nonc34):[nH]c2cc1OC,-5.183179,-3.062196,2.120983,1.0,3.2365012361766423,0.3599510000021837,100000.0
686,COc1cc2cc(C=Cc3c(OC)ncc4nsnc34)[nH]c2cc1OC,-4.636853,-2.602917,2.033936,0.9999977437494634,3.08297225869443,0.3244880000056582,0.3139950000040699
749,COc1cc2cc(C=Cc3scc4ncc(C)nc34)[nH]c2cc1OC,-4.560796,-2.201966,2.35883,0.9999999998972432,3.021910851561257,0.2955040000088047,100000.0
733,COc1cc2cc(C=CC3:c(C#N)ncc4nonc:34)[nH]c2cc1OC,-5.294964,-3.170492,2.124472,0.9999998413531516,3.1521845663867367,0.224199000003864,0.2399360000017623
742,COc1cc2c:C(C=Cc3c(C#N)ncc4nonc34):[nH]c2cc1OC,-5.294969,-3.170491,2.124478,0.999999858139345,3.1521845663867367,0.2242010000009031,0.23996900000202
755,COc1cc2c:C(c3sc(-c4cc(F)cc5nsnc45)cc3OC):[nH]c2cc1OC,-4.756043,-2.636052,2.119991,0.9998706170132352,3.010074390519944,0.2474569999976665,0.3125139999974635
