Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score
69,COc1cc2c:C(c3nc(OC(C)=O)cc4nsnc34):[nH]c2cc1OC,-5.365694,-2.782903,2.582791,0.9994217932317117,2.9907498636840355
70,COc1cc2c:C(c3nc(NC(C)=O)cc4nsnc34):[nH]c2cc1OC,-5.43758,-2.815974,2.621606,0.9999917413971996,2.8698299052640763
71,CNc1cc2nsnc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,-5.139978,-2.380493,2.759484,0.9999546773252652,2.919177285595369
72,COc1cc2nsnc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,-5.041345,-2.64401,2.397335,0.999999969070893,2.871127118371289
73,COc1cc2c:C(c3nc(C=O)cc4nsnc34):[nH]c2cc1OC,-5.249653,-3.091061,2.158592,0.9999999995800258,3.026529125060253
74,COc1cc2c:C(c3nc(S(=O)(=O)O)cc4nsnc34):[nH]c2cc1OC,-5.669642,-3.437616,2.232027,0.999999999827005,3.0940880774510164
75,COc1cc2c:C(c3nc(C(F)(F)F)cc4nsnc34):[nH]c2cc1OC,-5.661297,-3.069909,2.591388,0.9999998140288218,2.964006307166505
76,COc1cc2c:C(c3nc(F)cc4nsnc34):[nH]c2cc1OC,-5.21467,-2.752153,2.462517,0.9999999997898096,2.970657954792016
77,COc1cc2c:C(c3nc(O)cc4nsnc34):[nH]c2cc1OC,-5.117408,-2.681314,2.436093,0.9999999977976224,2.9984719408060005
78,COc1cc2c:C(c3nc(S)cc4nsnc34):[nH]c2cc1OC,-5.302625,-2.862334,2.44029,0.9999972072953486,3.162662150596212
79,COc1cc2c:C(c3nc(Br)cc4nsnc34):[nH]c2cc1OC,-5.260654,-2.866374,2.39428,0.9999999997497742,2.9760243883584483
80,COc1cc2c:C(c3nccc4nsnc34):[nH]c2cc1OC,-5.24185,-2.691031,2.550819,0.9999991099973616,2.695457011032911
81,COc1cc2c:C(c3nc(C)cc4nsnc34):[nH]c2cc1OC,-5.026764,-2.564324,2.462441,0.9999999841147884,2.798883828917889
82,COc1cc2c:C(c3nc(C#N)cc4nsnc34):[nH]c2cc1OC,-5.603207,-3.197538,2.40567,0.9999879196223994,3.039139158505068
83,COc1cc2c:C(c3nncc4nsnc34):[nH]c2cc1OC,-5.219654,-3.077489,2.142165,0.9999999840215178,2.929164943725219
84,COc1cc2c:C(c3scc4ncc(OC(C)=O)nc34):[nH]c2cc1OC,-4.749176,-2.390415,2.358762,0.9999783744049556,2.9477856225197936
85,COc1cc2c:C(c3scc4ncc(NC(C)=O)nc34):[nH]c2cc1OC,-4.844507,-2.394983,2.449524,0.999993031003528,2.8558303210644915
86,CNc1cnc2csc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,-4.609091,-2.081039,2.528052,0.9999950741468692,2.9089893257291486
