Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6593,COc1cc2cc(C(=O)O)n(C)c2c(C#Cc2nccc3nsnc23)c1OC,c1c(OC)c(OC)cc2cc(C(=O)O)n(C)c12,c1nccc2nsnc12,2.4438690000000003,6.059636
6594,COc1c:C(c2c(OC)c(OC)cc3c2cc(C(=O)O)n3C):sc1-c1cc(NC(C)=O)cc2nsnc12,c1cc(NC(C)=O)cc2nsnc12,c1c(OC)c(OC)cc2c1cc(C(=O)O)n2C,5.16329,2.9724640000000004
6595,COc1cc2cc(-c3cc(OC):C(c4cc(O)cc5ccccc45):s3)[nH]c2cc1OC,c1cc(O)cc2ccccc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.742884,3.950964
6596,COc1cc(C#Cc2cc3cc(OC)c(OC)cc3[nH]2)c2ccccc2c1,c1cc(OC)cc2ccccc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.641781,3.975576
6597,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):sc1-c1scc2nc(C=O)cnc12,c1scc2nc(C=O)cnc12,c1c(OC)c(OC)cc2cc[nH]c12,6.840931,1.9619020000000005
6598,COc1cc2cc(N=Cc3c(C)ccc4ccccc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1c(C)ccc2ccccc12,3.962653025,6.004024082
6599,COc1cc2cc[nH]c2c(N=Cc2occ3nc(C#N)cnc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1occ2nc(C#N)cnc12,1.823192,6.929897
6600,COc1c:C(c2c(OC)c(OC)cc3cc(C(=O)O)n(C)c23):sc1-c1c(C)ccc2nonc12,c1c(C)ccc2nonc12,c1c(OC)c(OC)cc2cc(C(=O)O)n(C)c12,5.689911,2.9678230000000005
6601,COc1c:C(c2c(OC)c(OC)cc3[nH]c(C(=O)O)cc23):sc1-c1nc(OC(C)=O)cc2nsnc12,c1nc(OC(C)=O)cc2nsnc12,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,5.92339,2.4100719999999995
6602,COc1cc(-c2cc(C#N)cc3nonc23)s:C:1c1c(OC)c(OC)cc2[nH]ccc12,c1c(OC)c(OC)cc2[nH]ccc12,c1cc(C#N)cc2nonc12,1.6447510000000003,7.71681
6603,COc1c:C(c2c(OC)c(OC)cc3cc(C(=O)O)[nH]c23):sc1-c1nc(NC(C)=O)cc2nonc12,c1nc(NC(C)=O)cc2nonc12,c1c(OC)c(OC)cc2cc(C(=O)O)[nH]c12,5.5843940000000005,2.475456
6604,COc1cc2[nH]c(C(=O)O)cc2c(N=Cc2c(C#N)ccc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1c(C#N)ccc2nsnc12,2.257347,6.161811
6605,COc1cc(-c2cc(OC):C(c3cc4cc(OC)c(OC)cc4n3C):s2)c2nonc2c1,c1cc2cc(OC)c(OC)cc2n1C,c1cc(OC)cc2nonc12,2.655329025,6.7800150818125005
6606,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):sc1-c1c(F)ccc2nonc12,c1c(F)ccc2nonc12,c1c(OC)c(OC)cc2cc[nH]c12,7.22806,2.270766
6607,COc1cc2cc(N=Cc3sccc3F)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1sccc1F,4.429705,6.660998
6608,COc1cc2c(ccn2C)c(N=Cc2cc(C=O)cc3nsnc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1cc(C=O)cc2nsnc12,1.900907025,7.378782082
6609,COc1cc2cc(C=Nc3c(OC)ccc4c3SCS4)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1c(OC)ccc2c1SCS2,4.441061025,5.601202082
6610,COc1cc2cc(N=Cc3occc3OC)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1occc1OC,5.4351650000000005,5.768873
